sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
A_01,-17.395136717926,-36.0855071999961,11.520905160881,-7.36584640892409,6.2837198280295,-13.0778918935847,-5.99232361262545,12.45764943074,-18.7398970549138,8.25204659800994,-12.6997801350655,2.73271761213213,-8.40355172337398,8.49496832538937,-1.91865532147662,1.35864068657703,-4.85759004259883,1.63981987536762,-2.30353390479652,-1.65261464962736,-2.01026441441666,2.45919628791121,2.98642393633063,0.544583783465801,-2.35241845813171,-0.64188815629322,-3.71445711569855,-1.38479785746878,3.5669467384804,0.553323716226733,-2.37458845457506,-0.657300757922165,-0.320461310830219,-0.85107910222467,-0.681327277811592,-0.951571190265914,1.08675505147399,1.20815452808835,0.500465915296575,0.425089769930415,1.71454246253199,-2.84291605847408,-0.168601010585468,-0.0769544193105978,-0.176724922175992,0.267393991826593,1.20204874803031,1.09948663517487,-0.67029333377165,-0.30727877701852,-0.448968820510276,-0.567934199955967,-0.337500790197319,0.606200486804231,0.870671907603162,-1.11368383941273,0.789388786272849,2.37503921455327e-13
A_02,-18.0619986159862,-22.8602670035053,9.11214096995316,2.34962367409726,12.9705872056067,-3.06813722941979,-2.64413697943399,0.902875699236228,9.37637163008831,2.00391994485932,-2.50067757085975,-5.45732264472134,6.41048591356875,5.32300296767283,3.9501409439466,1.65115093393328,3.36991194779712,-0.948175927610292,1.26280075693016,0.482256751780196,1.55423405791122,-2.93746648517674,9.1793089401869,-3.0388439839759,-2.74027445708675,0.679964282684671,2.63720035271203,0.146360626338587,-2.08511069936849,-0.571310829464461,1.87993277855679,0.687031157947512,-0.0699721559257538,3.81460345522783,-3.24705130506652,-2.9506886742317,0.518385435560057,-4.5690747546708,-7.26365532103513,0.603380240529866,4.04519830321001,2.80800998647031,1.27833817154334,3.59417618050392,2.78625464691171,1.95219882295139,-3.05956692868287,-3.30882432700599,-1.18026963169995,0.937488789417803,2.91526918273893,3.97544704949949,-2.29367855707402,1.53174796423443,0.180206743675908,3.94636843206998,1.00741218342041,2.34109694316552e-13
A_03,-21.7325965035683,-25.0299123074127,-3.13591420378577,-7.84822956558228,0.81212115129841,-16.1594087698159,2.17215379237053,2.54604028483338,-0.765538050044074,-9.6817192848366,-1.33633906597757,-1.93350442446773,7.60271870339867,-1.12054258478825,-1.97354973550832,-1.50122969851927,3.45438885278044,-2.84276491875135,-2.72251757964984,-3.12729059783048,4.25970862830872,-7.24606020130229,-0.283601557141922,7.1204296322086,0.820710889646506,-2.20248926181076,2.37582901775929,4.47289460746869,-3.51322651854141,0.797856686367452,-1.69675838281238,-1.99974100722109,3.68610390175791,4.29259363832932,-1.82673471563779,-2.12178343501508,0.614153148998093,-0.887792523987068,4.41262731712627,-1.46271372666331,-3.19723068752151,0.949527391801743,1.43280251478909,-2.88074610315741,-2.12793126751835,-1.98474220330995,-0.90856578600871,-2.76528716914119,2.79723860200229,2.45956982621704,-2.12584567492904,-2.34114204686278,0.700081248464458,-5.28717917993476,-3.74051322667405,-1.38761251742816,1.12745033101122,2.37604400892166e-13
A_04,25.0225132748766,-12.7732719715088,2.36527877456284,-2.97423248553892,5.06981373434767,-3.14890216432378,6.71981112775566,3.70821094211837,1.94830484854485,-5.08426803987556,0.437296928102159,-5.44243294740356,-0.8865160196413,-0.071135111925472,-6.89185936014164,2.90268421097388,-1.39911897364484,4.08416657962951,9.10698279366073,0.797252847638209,2.20539220307069,-2.93020109666991,2.59159656506619,-1.69540253438457,-0.625705846243352,-1.03499680834945,-3.48023956681035,2.91632839035095,-1.14650497067577,-0.495590847650296,3.48614454015643,2.47521595048929,-1.9935069679533,2.734327950337,4.29166892550911,4.36696431176047,-2.70769477826972,-0.338211805720813,2.81399530669829,-1.12389187908612,0.573185684318629,-4.0692298911913,-6.3715041406436,-0.659594683305625,-3.20034593487284,2.56802884004682,0.446140775582463,-1.3887991993477,-2.62956694510333,-0.0639933229610758,-2.72412661689232,2.64916053833841,-0.0920719414638335,0.433774386990619,-1.04691148815048,1.37469548796915,-8.79488706624748,2.314147998097e-13
A_05,24.5050194131489,-10.7177029065991,-5.10077086886441,10.6418215051502,4.21531784451158,-3.6293090490586,3.38879664688848,-4.69806175705339,0.601676673022845,4.21371188739876,-2.81803112549412,0.866281432860716,-6.13048691092729,-4.10278957884127,-2.90840367468214,1.48052660162283,-2.63660798910844,4.15086038368528,2.14225457961056,4.61429837451883,3.0161023809717,0.533356601162635,-0.342148865666952,6.13542028679749,-3.96083554253405,-1.90091956576685,2.19222685435279,1.61258959980347,-6.40483692309074,1.19616648583456,0.596049574831043,-3.01596504437376,5.09733887289603,-2.05185712352005,2.86444599565448,-1.74941275077007,-3.60225665604797,2.72320152453471,-0.49273789661144,-0.422323848301727,-4.97907545427784,0.300549411873421,1.07362733315524,3.91293887711533,2.45708480339883,4.14021662722949,-0.545834534191097,2.94735427236284,-0.327423045960157,-0.494766701147883,-4.07206567585381,3.01144408692292,3.18977498189439,-1.9899025643505,4.00078062157795,4.81649923312214,4.70735115136766,2.34421820301029e-13
A_06,-1.12935914862572,-16.6779779697914,-9.75254967546424,3.80467452084142,17.0396873169035,10.883663187718,8.52340084109162,-1.23183107230648,1.62345682663882,-2.20868318444842,-0.628624260131801,-3.87639250340105,-2.24235551428211,9.22527390368858,4.57433660530548,0.229683846094646,1.77024097391249,-6.82505737800069,3.05707432660483,-7.9143805752717,2.60765474449595,1.5271613480952,-6.09138534509298,2.65042687105994,-5.52382167859978,2.27591845929069,-1.74219811661452,-3.74128486876504,1.15319787766467,1.25605924212066,-1.50112857848665,8.78318738833693,-1.3059561500035,0.28060514615267,4.37193012227085,1.81461949888866,2.3194372521257,1.14962385815834,-1.35203535150791,-0.00751721218123469,-3.70057451995951,4.68144983004581,1.38248637797397,-0.169946175631581,0.267065917414257,2.89505456519584,2.10417720457188,1.38212483360545,2.98161855007462,-1.50346640883515,-1.02012879818068,-1.84231066611703,0.420474256436,-0.577244744224652,-0.50026975926798,-1.55761541786811,-0.0398175666618423,2.34298201735584e-13
A_07,21.4596683856287,-9.6843303210388,-1.03179967183527,1.10834019156694,9.66232812877672,-3.50765823903525,6.26999379567641,-7.22364747920676,-0.291546332776724,-3.59831317166199,-0.449408030558096,2.02890562045284,-1.09372685613747,-3.04627063918062,-5.39571106251334,0.350328703688984,-4.86659495361768,6.84902924247681,2.87674416312589,3.15454732721941,-1.32195110397337,-2.47977059736677,-0.821348237896947,-1.40095357402457,-2.29792518739464,-0.891376316449006,2.38865469955283,-0.966433977394252,-4.25435925240765,1.18481862871506,-1.33536699629566,2.43276843003408,1.06905566796969,-0.62108802581053,-3.14303666582562,-0.831786629999498,-1.45305565526939,0.819151226675492,-0.947631109566472,-0.189345130979431,1.36250706890264,0.481375722071702,2.32574271525179,0.505563137282783,6.4334630950308,-3.86993812819393,0.0287210285290972,-0.869913855656054,0.124575701629969,0.269379028551629,3.35579251376704,-11.5433246571367,-2.31286846945233,4.15472147839972,0.377788183681966,-1.49846231502824,-2.36635396726505,2.35986966802767e-13
A_08,-20.5723518513151,-4.81872211644122,-11.0657246813972,2.5514632459872,13.5804558193964,-0.534900451065244,6.92578731152343,-3.74844525961247,9.27322498977845,-6.86324566700494,0.426973155189247,5.96016373797277,4.00228874586305,10.0347479340596,1.0350422540433,-3.7269996853824,-2.46209110754926,-0.788916566615914,-0.874639927039667,8.37290217912359,-3.61659016985717,7.39783413320397,-0.27988979359396,4.37784604663417,-1.36364429834123,3.84588181896998,1.23100854866393,-2.09859205806253,0.386341995519919,-2.03794036602795,1.9335077561492,-6.15450747010561,-4.59554436816527,3.73883965669273,-3.38665888354205,0.953319521927526,-3.35910688255445,0.22433088184383,3.04407592668053,-1.68350560021805,0.116242254641031,-5.55470709753151,-0.308928593595813,-2.70232249242,-0.96316757046118,-2.52125430803665,0.99757071280807,2.24756570538367,1.68234938011801,0.649291034867326,-0.0581397645377282,2.62547380419003,0.951431252402918,2.44631040892284,1.71541427563773,-2.15917175154988,0.805807591833774,2.35155480607389e-13
A_09,26.6981300146487,-14.3340645505936,-1.62819254734407,9.53450772375104,2.76655288994881,-8.32608576463941,-1.99053190155623,-8.22540530597358,3.89588717367342,9.2762026730868,3.4324234148542,1.76941568473254,-1.21615547006252,-2.11462444705614,2.72752951904774,-3.86159935602705,1.63081511349948,2.59769898068754,-0.846603475947047,-5.96439642637945,-0.809885715906501,4.13209771620039,4.10314182685593,-4.45509264872793,1.48648224698622,2.19038398446347,0.627551474037184,-1.69567146503548,3.4886134394735,-2.98038597538956,-1.16462630936694,1.11673940727875,-3.92727313610103,4.40150986189346,0.750816166332993,-2.52497811787095,-0.39431630462338,-2.42690164010139,8.79749150372685,0.112630344560571,-0.913541949713284,3.83724465199167,-5.52870675434622,0.0891025972662497,0.759673135936929,-0.838457866489757,-5.23092047075891,3.03963882177555,-4.31706122679687,-0.795669100487092,1.45962160330816,-2.59562220388079,2.99209041798701,-3.36122710950799,-0.782323642497053,-0.181674218807956,1.72292269893022,2.33608671306314e-13
A_10,-9.62935584151746,-31.3092465622872,-5.84916384182312,1.30614870526418,0.0310821223449654,12.1532495834611,-6.21848161057182,1.32549328420812,-1.03463946173531,-6.08407007375352,3.41023273691688,-7.22522110297226,-2.53286103661157,-1.03822035528645,1.03213598837512,-8.31638395754889,6.05482546150658,4.40262065982815,1.23809544824755,1.78842457103559,0.659008512257468,3.67180224546549,-3.20669570411326,-8.53706424161036,-2.73496833080912,-5.60276456038399,-4.44666745504448,-3.39983152636196,-3.66839066428273,-4.197162201964,-0.0422677281610706,-7.4352515426122,3.05569127252245,-2.07369966346738,-2.04383123559285,3.03341179941771,5.91261562688695,1.91937422011287,-0.418540640278445,-1.09658248495393,2.90650647935076,-0.125483615785506,-1.63293468490402,0.510589596812272,-2.92457360671596,0.467994316898444,-0.904380367870041,-1.49875785148843,1.04263076488271,1.36449068839882,-1.65052399198432,-2.70545880655737,1.79356182668135,-0.916722600699972,0.58373395349382,0.643792293284172,1.49827073227407,2.35084362607354e-13
