sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
A_1,-9.15369757673519,48.4162876068791,5.4524387857145,-3.99719078367693,8.292524066876,-4.5605625154129,4.81366339743973,-8.99456490089326,3.69774555793527,-14.8579676165072,4.24884630900412,-1.75866183715994,6.36282391309041,-2.97282727862982,4.72138200534663,-10.2381253958894,7.01409367716303,-0.93936975425203,-4.31247593509914,3.56860255631495,0.927448114303082,6.22675295791743,-0.429917212881895,-3.81773277101968,0.225883714487789,4.36523235347514,-0.98167580455753,-3.45794950186474,-0.852850397459843,2.6840543354321,1.03937288437785,2.30631977699565,2.18668494827057,1.38178177458169,3.7613712652882,-3.43532462461167,-5.59287036606229,-2.40896740239454,-3.31702077672862,-1.08774466861582,3.50164607245931,2.63687519195367,0.949476913652382,-2.24949545861163,-0.230091901324618,-1.40884378115346,-0.103823778386336,-2.69870724844205,0.414962784055691,0.27066064664945,1.44791866734956,-0.272026972036009,-0.0605276386830558,-0.583741957124765,0.559272005229808,-0.604692482508451,-0.0269963653579963,-1.82288203562216e-13
A_2,-16.3000209245559,24.2734010085431,8.10593579801455,-15.7516255452202,1.15610967773458,9.56027298680456,-2.71462704548955,9.06449098245927,13.4830128751068,-2.49825077500876,6.64412252414696,0.0929338936025518,-5.34911824238962,0.0911888243089969,0.742363418114935,1.83883823091145,1.32896965242103,2.7969607525156,-3.46715074606704,-1.58039361695864,-3.5440511594755,-0.109970136504858,-2.58583372147135,-3.38637118914096,3.20098136658147,2.34482237860984,-2.77769108460012,2.60874116056265,-0.310798698997755,-2.34953847327863,2.14191352499821,-3.4533345975379,2.38826522700912,1.86514394784562,3.3728913059821,-3.62704493326889,2.49854168017908,-0.508378602563279,6.45234809018443,-4.04278192806484,0.639993126125907,-5.28740551847118,-4.14718696329035,1.61002210748291,-1.45335233664684,0.803948729336954,4.74759446497588,3.35723737329434,-2.26214444268173,-2.2215437663189,-2.50609819073464,1.66612506903217,2.35824931229133,1.83295700319783,-3.17864138316116,0.370918281494053,-0.611664690862612,-1.77515350977626e-13
A_3,-17.5772221563298,30.1895568237985,1.51013006684358,-0.640813899412651,-8.83938157162171,4.6763342511301,6.06318634042206,-9.10223524630386,10.5050366923366,-6.6302443621105,-6.98778202995217,4.78786433104077,0.34954198569393,1.77871580308607,-7.2008550325436,-0.282321769832094,0.436919959097475,4.873095581327,7.37219514050044,-4.5197015228333,4.07652058498082,-6.08761982278206,1.53995052649701,0.220792179476463,3.9068226777826,-1.40451807048847,3.24981996279653,0.966711353015652,3.20598290574893,4.38725082591393,5.21089987518512,2.5534892362899,-4.05540739159522,2.30967277127663,-8.5859321131863,-4.04619598664924,0.365467738177492,1.38293064024902,0.637501155554047,-1.60722065133419,0.10286665146634,0.94625455035021,3.00648437481497,0.807218289722645,-2.15839689908992,-1.22190392179422,0.415372697257462,3.35274886172566,1.84171438261825,-1.11623868639361,0.458735712708423,1.64515709699189,-1.25868637936267,-2.38484089932682,1.08016418084157,2.24685422885037,-0.176531612675144,-1.79913359478653e-13
A_4,29.8120764720949,14.5802234938707,3.97632156713016,-2.6511358274018,2.36969434930792,-1.93258965201977,-7.09349156001773,-2.78529381949513,7.50536597761417,5.16612903595521,-6.87036981072065,1.04353366592848,2.14319984461167,-2.81663703803726,0.293812971564838,1.40237583897059,0.71282039582331,-1.39174785706097,-1.87011222814605,-6.86191859621473,6.04218093618893,5.2477783871424,1.59631494862422,-2.73660459505789,2.97820819496116,-0.230857737488353,-3.14859305324693,-2.13514029701005,0.254089027946612,-2.50601968354647,1.7154263684875,4.81421037077325,-1.29123367960377,1.28868258954974,1.57180783590276,2.17334203262177,2.42283873862416,-0.0814873701265935,3.62223571131621,1.88606087821076,-2.95459145131477,0.124131034696802,4.02629775985382,-5.41785126099279,4.16977652737126,5.42031332541966,-5.34859559793257,2.47746591440225,-1.70619572890187,-0.645803076710633,-2.30583710193791,2.62825174474701,-2.97141885965998,3.11584923785582,-0.103922899669275,-5.34873664701529,-2.04226220003714,-1.78247786589212e-13
A_5,28.3747942852472,2.10699968311584,-4.31015199261735,-7.26143129029443,-5.50284819422033,4.11954111344521,-5.71458042092368,-1.63238025319686,-4.85059397074578,-4.19563666973126,-5.17574567565388,-7.64303270068855,-0.617961834646322,-4.22312987400408,0.796811167289735,1.83494657843094,-4.3432864018709,-2.68411445790828,1.91679045335346,-4.47445486165526,0.616807587890559,-1.99414815057148,-3.29474545904089,-6.79547612613511,-2.2657316728431,-4.5766164000409,-1.96029194234408,0.160354573263621,-2.76592374170483,-2.08304545009471,5.81177851441009,0.169307000599073,2.6135698998659,4.10410641170075,-0.8964570624689,3.37408992786507,-3.44329573876564,4.31007711774537,0.264009593411324,-2.9929779508498,0.546357739298785,-0.361797537384339,0.0219376525168373,5.87643246082796,0.849732047859845,-6.00967103339677,1.18925473545389,-4.97420097845258,0.883705853612177,2.21569084637039,1.49927819619353,1.31127213735735,-3.92783576491902,2.37193227487024,-1.70858564826696,-3.32433555114845,3.75466692851449,-1.80990696765768e-13
A_6,2.12431600578491,21.8125149232788,-9.90237630834538,-11.5024749583507,9.33883795172052,2.51809299995618,-11.0829816132189,11.2159110550882,-2.953808813724,-0.199851414457849,2.3153429286145,5.90677638599788,-12.2254208435156,-1.59967738992474,0.48612727444342,-7.29037307664576,7.76202222481834,-9.8546595218547,0.911031432598382,-2.15026393762726,3.96060515219169,-2.28685326869259,1.09871077652826,-0.248647842777573,2.40020587932105,0.0978621119324277,5.7398896597264,-0.0187927848426642,3.22206446495695,1.7980000576974,-7.01985582739847,-3.08395853159876,-4.32193254728106,3.23064536699524,-1.89369197129378,5.5908128724818,-0.174675488530002,2.5669012543831,1.50989139382904,2.2356710851143,-0.445093633927163,0.797854368953001,1.3994702656438,-0.980322190118236,-0.126498418121757,-1.28121307179008,0.788708469197519,-1.26844421343363,-0.18876665177134,-0.437058010338312,1.88308476554181,-1.30339435626583,-1.26571214006809,-1.52996815503148,-1.13801476424512,0.992286802813,0.479123322106644,-1.77814032945675e-13
A_7,27.6366105248595,8.89008469327314,-0.551756985119654,-3.84293831778473,-0.0509798206266226,3.90158245281569,-5.96200678964234,-0.520360233386308,-5.15952387127014,-1.63153243292695,-10.7943165429352,1.43203618824787,1.95003507629738,-1.30965924810525,1.61618610589877,1.71141270504743,-0.906654992705469,2.20524664961939,0.0382633863916788,-6.0970313122847,-2.68800831114599,3.94713525787648,-2.39576480988764,-1.19409060522759,-4.11653904669825,0.250149922596617,-1.60684684298696,-2.81051496173912,0.575957108785276,-3.32722530917078,0.818705874164675,-0.76272580696428,1.32516365184421,-4.05026785139848,3.10347116631356,4.23992209976505,-4.22479523922275,0.321567226056344,2.06761247384899,2.79263314472485,-0.860953221673651,-2.92212093353542,0.12022843197124,-0.87821992277498,-1.32146585740948,0.667625110247569,1.11552835564692,-0.567399220937182,5.82976248088813,-4.74784748932882,0.64396006415824,3.87708431123513,3.01742355849123,-7.11791674540729,1.86032941834432,5.91630109250183,-2.62689981244569,-1.80268846156177e-13
A_8,-23.8650885527838,3.59821947150187,-12.6214863785318,-9.63386114716941,0.3838039336353,8.06933048284124,-1.60382508430089,9.09883578406516,-1.56409570177749,-0.406531626401859,-4.12269323394671,9.38253902509689,-10.7257168462634,11.5715522748584,-0.659186398243663,-2.9688979775508,-5.39779771083316,1.81685884992477,-1.67563813038026,4.247364774533,-5.11827958533616,3.08927754028864,1.15360149419084,-1.91113722860844,-2.20431735072055,-5.33159285704733,-7.71823247892119,-0.134248787557957,-0.836597318668183,-0.964666014789303,2.91699619314808,5.20813539394525,-6.53187838689531,-3.52456573695335,-1.1554038430537,-2.28792806543489,-3.22766623513426,-4.85555621262453,-3.99135892960514,0.281440637679295,0.634890241188848,1.1898723396592,1.12947397183406,-0.827240270796125,1.81268795594573,0.251745676003656,-0.0527899057598748,-1.4123747432525,1.24052507993024,1.4618347296585,-0.711837103979139,-0.857351577076105,0.595967908599346,0.156289229474801,-0.778633340348044,-2.17230799216469,0.195366952918232,-1.80213261494616e-13
A_9,29.6171187421747,3.26607271756744,-1.02766611687527,-9.8160278348413,-10.1202890779207,11.811703489336,2.9522055423677,-6.60582246457917,-4.15104013469615,4.09617962073217,4.20728566514082,-4.35415225423512,0.382500098181969,1.64275831032432,1.40560415721186,-0.462295893490378,-0.788363182794198,1.93761943328761,2.37918714382349,6.01681151353716,1.2121046859077,1.67164991689583,-2.64683529381686,3.18788260514885,0.762026910608109,6.30940014992027,-3.28078800206212,6.89490838805264,5.96827111576464,0.184805124956742,-1.71349453286102,-3.55195591705545,0.491968733424792,-1.05603088613636,-1.90720323738574,-1.24317192888416,3.09353616400806,0.0770049549826226,2.0336899161658,-2.76505836227074,-3.78807330445755,0.150417100786052,2.59568547293656,-5.7934652399655,-1.89693943727729,-1.93765311444963,-3.06849926038858,-5.28277123607507,6.84652866559443,-1.96115873025565,0.488295235595312,-1.93855595382019,1.52282907515248,1.18421254935116,-1.03706946259043,-2.58423488843108,1.05181533069233,-1.76677884811698e-13
A_10,-7.79225226942633,35.6624596979787,-8.89990195101275,0.644715958817863,0.750910396340818,-8.67543293408723,5.16421202381455,8.03591896079673,-2.35605901724051,4.8372815908155,-1.83116805641954,3.57150708654453,3.78280467054606,-4.96077035452397,1.5688910518095,-2.09081654174252,-2.08660986265702,4.95099937984811,2.89539606990762,5.02387299265858,-2.86528123239205,1.00171221259542,-0.027791475572698,1.21508264472094,7.27618888045794,1.32202495213118,-4.87681080127891,6.25072651220085,0.457216124740421,-3.0976718474371,3.22579487533143,2.7153174092776,-0.74382908354215,0.816078219294964,3.97108241651389,5.7364010976767,3.55284188484784,5.37882097931311,-1.27427461963539,1.52307791099077,0.602528494860706,-0.0828087691842577,0.410602178807984,3.81884947058795,-6.6221965307937,-0.371020743540872,-3.31598761524003,-0.45305422611315,-3.82113315442363,1.4197861763924,-0.0833486922715386,-2.55847581630962,-0.176577721930851,-2.52274561034916,3.4917269142184,0.0161313662499795,-0.704731534004198,-1.79029651882524e-13
