peak,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
55.01853_1.193,-0.00237597070548842,0.0405908218102915,0.00548581541661906,-0.000428831060126311,0.0103818534498186,-0.0123436411860735,-0.0470794906376871,0.0336902034301236,0.020137619548773,0.00566234687050628,0.0247978267566187,-0.0334988711511861,-0.0281072915348573,0.00959982242300303,0.00753148241901259,-0.0144844720049006,-0.0044360131891296,-0.0143983584068503,0.0165371983294893,-0.000847287984414888,0.00988599567774501,-0.0250729793610127,-0.0147420497441972,-0.0303615340166459,0.0230336536879987,0.00830306659555106,0.0219234928545224,0.0382242718053399,-0.0299191779827331,0.0151724569655701,-0.0103808380195324,-0.0159252844154075,-0.0122810648448517,-0.033857986304644,-0.0304944625069175,-0.00111547138833211,0.0296409652906448,-0.0119972414120598,0.0566845363921678,0.0119204331482366,-0.0262271184525378,-0.0467123150677424,-0.026654269737291,0.016875072331287,-0.0386574056588884,-0.0189851341029573,0.0187071862295447,0.0402280020362799,0.0209213509188905,-0.0119053361412995,-0.00795101012981632,0.0164125176215832,-0.00797387244372898,0.0153719130228638,-0.0649822298740734,0.0302552419700767,-0.0136680422461211,-0.0124767641926546
55.0551_1.003,-0.0413461660160552,0.0228728397351854,-0.00572778703375005,0.00892240493751504,-0.0103445276754353,-0.00257634060819586,-0.040741117491602,-0.00466598071270229,0.00739667992361118,0.00170687293337365,0.0124518095628215,-0.00671053781467683,0.0159986550804873,0.0049003831478196,-0.00203576244233176,0.0260850772783925,0.00285849963898361,-0.0103761587792584,0.00166704436403212,-0.00770275082227114,0.000292409439712373,-0.00296612144181658,-0.013364829871596,-0.0132921418655819,0.00218005864042399,0.0149359957218106,0.000491588731570301,-0.0164055037558874,0.00287156993837518,-0.00176158585083298,-0.0165535335140706,-0.00999343794306886,-0.0221460357084434,-0.00252152862800774,0.00851655900309363,0.0205711082571247,-0.00999644796093345,0.0203016297848268,-0.0164837229859343,0.00450425517125897,0.0190013320167057,0.0160236371661154,-0.00148356554696168,-0.0442241976814535,-0.011953251997567,0.00396677396701919,0.00633779291622384,-0.00592291570208615,-0.0148984803128745,-0.0052800470600339,-0.0118723387938307,-0.00437915247603298,-0.00657237129667328,0.0192068704880071,0.00999696026550854,0.00133897684947517,-0.00126665630907761,0.00185591200620125
57.05806_1.189,0.0182636666875013,0.0297089117757965,-0.0122897365063901,-0.0171194881843436,-0.00378291214840019,-0.010360853785689,0.0482410381755772,-0.00733452016161161,-0.0174381186116872,0.0426697244404592,-0.000795252659901075,0.0122240630297652,0.0332726210418803,0.00396356981713812,0.00446549505192265,-0.0514273586274429,-0.0117269605102321,0.035644140609097,-0.00611470006645185,-0.00333481557284276,0.0219962964428023,0.0281958125198897,0.0387006106299254,-0.00981168833396793,0.0087837740735416,-0.0117169050593645,0.0278385027557314,0.00415054813318732,-0.0190291933296435,-0.0227510914159812,-0.00644474419086967,-0.0431219388746821,0.0543396274920151,-0.0444484718112816,-0.00378201025732959,0.0209018597157195,0.0161352657569195,-0.00962417248669408,0.00854290432348711,0.014322331701591,0.0325491335919223,0.00534247575243396,-0.01828842760818,0.0796594126912121,0.0392915998184511,0.0401892320942661,-0.0169448614963873,0.0155796474452182,-0.0395513165197769,-0.0288314111852672,-0.0458706846593218,0.0198951509398869,-0.0183891445586552,0.0524630506666363,-0.0109431176626543,-0.0495542741756078,-0.0124622144944049,0.0252066716020074
58.066_0.799,-0.0100028005870244,0.0259435303807068,-0.0193248152260405,0.00574565247105569,0.03924480431852,-0.0272052272534939,-0.0060929289884867,0.00507717985234283,3.22933031796471e-05,-0.0579235033368281,0.0321284569651742,-0.0604651058736709,-0.0137122125629846,0.0057316164360003,0.0193358464731873,0.0497409916209364,-0.0265783265383307,0.0295802616637256,-0.02818891500134,-0.0165154237207393,0.00902672101381834,-0.0103713190743301,-0.00206715091379746,0.0420592931522936,-0.0211218430663826,-0.000857228388460062,-0.0222240679678696,0.0141325625860242,-0.0397588842789732,0.00406334551234973,-0.00320082322638134,-0.00155696903899298,0.00696862548986428,0.0317366983139457,-0.0237211625724724,-5.17566067964477e-05,-0.0388292492969795,-0.0317110976538158,0.0465101628309471,-0.019534434257875,-0.011904143519806,-0.0531005396339199,0.0171504487158479,-0.0127722569515277,-0.0807204128055152,0.0739599533155579,-0.000734754976871511,0.0463545452356637,-0.0340208187271746,0.023548178743803,0.0122266229673918,0.0319714220661676,0.0491923456524838,-0.00249862280653258,0.0207520880463683,0.05464816436752,-0.00279127531558249,0.00967082131147838
58.06601_1.092,-0.0199134478245793,0.0233847955548806,0.0267394198354692,-0.024070870331223,-0.0120467553078277,-0.0292931374218137,-0.00691994537408221,-0.00234525893169572,0.0180339253930268,0.0550411218684614,-0.0200407490810116,0.0281876888198801,-0.0243202764658833,-0.00808323729152306,0.0387217641353386,-0.0219363197566654,0.00537987858578064,-0.0482685652809389,-0.0287490780235361,-0.0238416661803522,0.00105141446081091,-0.0699710762508701,0.0132146897934482,-0.044485396368257,-0.010370755165473,-0.0458283275249526,-0.0147727019365736,0.0227259290145818,-0.0137704950018862,0.0213815530052781,0.00799560941130821,-0.00688988318821818,0.0324182417968145,0.00922257366197342,0.02022292806871,-0.019483434229463,0.0102426060221572,0.036049170420067,-0.034528724807677,-0.0302044544647976,0.0146103512129911,0.0114738149747979,0.0254561217379358,0.0138462548648309,-0.0098220510987617,-0.0316706239609847,-0.0273238866581924,-0.0487649861140019,0.0566209382214805,0.0248656120796308,-0.00634247240263249,0.0541818185339684,0.0275492166511749,0.000845015479868247,-0.0093600871495572,-0.0612080739116585,0.0130967099633597,0.0457178527282321
59.05_1,-0.0250975968584139,-0.00241491194286229,-0.0263750980623497,0.0271371727854238,0.00689435753096548,-0.0200798440562879,-0.0550411604889318,0.00172475925796137,0.0070879723755717,-0.000876679630588603,-0.00614246204598407,-0.036084765091717,0.0164651687881208,-0.00965070896959741,-0.0449570081607342,0.0408021369755649,0.0259906160401454,0.00636733658649836,0.0508967203893238,0.00392373967032879,0.00384940570372183,-0.0349778842305025,-0.0213306179940853,-0.0186605156905656,0.03338627311554,0.0234784526518986,0.013811297280629,-0.008439444681137,0.0223117829010622,-0.0256388350699434,-0.0216217055773057,0.00129392819861045,-0.00915755042794117,0.0389110190565217,-0.0111203175337135,0.0613778487010909,0.0812573500730586,-0.00517649988031736,0.041569371786601,-0.0103152983684344,0.0317440449856736,0.0229360150989369,0.0276552375335753,-0.0964423606315677,0.00610335219063755,-0.0459704724881483,0.00521009804942714,-0.042650795346627,-0.00721667265780035,-0.00713171873376108,-0.0195727385144267,-0.00112837579897196,0.00366188298433336,0.0344873792179803,0.00351168156207113,0.0777314367517512,0.0193744324043968,0.00388337656795842
60.05653_0.953,0.00102555789269948,-0.00888862735729318,-0.00783294274398391,0.0419617442233132,-0.0266921706228838,0.00640227542180754,-0.0513004917315565,0.0378561080115838,0.0236959780268295,-0.0127484101166695,-0.0483174073538782,-0.0417346816965938,0.0108214413554875,0.0185978879091563,0.0509532628485713,-0.062679525043703,0.00601243246661822,-0.0135944520384704,-0.0136185448838088,0.0666011516811535,0.0181277977377931,-0.0196126378689581,0.0243282947646116,-0.0804405790208432,-0.00436018799167873,0.00520194314571277,-0.0400834138140016,0.0837446132337964,-0.00763712475522665,0.00798514723691866,0.00893189728225747,-0.00688628197887203,0.0490505026263516,-0.024319315767201,0.0285063781768847,-0.0214155631142741,0.0165030875934369,-0.0149336302259638,0.0250819556570835,-0.0385517472571331,-0.0570907223799501,-0.0156675072132111,-0.02604725920718,0.00388856558826399,0.00340134429158406,0.0298663224413496,0.0050601633094079,0.0513895614037645,0.0138347699633124,0.0420696676642709,0.0309254582970319,-0.0138072706843878,-0.0381585213717885,0.00382709850375731,-0.0342015390581586,0.0202958669092278,0.0281611715453166,-0.00535927351790476
61.02928_0.045,0.00134329565091803,-0.0137014954629209,0.0208490736823191,-0.0130673518678601,0.0431084082520887,0.0137768183103526,-0.0289955359023018,-0.00160418315382104,0.0337022865563715,-0.00243719797478223,-0.0147579727330845,-0.000531087128735113,-0.0181571305040033,0.0211589828876604,-0.030203935104557,-0.0226804145335837,-0.0272573773097827,0.0230487935669281,-0.0272259060660751,0.095272976406964,-0.0279678939219338,-0.020731039592836,0.0173459766107359,-0.0141355371309245,0.0484157444863847,-0.0753062314387639,-0.00125042314008708,-0.0278393897430211,-0.0187962716194975,0.0335942413170801,-0.0586340485526686,0.0240955095182879,-0.044144468883781,-0.113732574610241,0.00948929216494317,0.00126052610765289,-0.0544315216641702,-0.0247467777133731,0.020278738438193,-0.0236584450954549,0.00808880348118456,0.00445026191036379,6.56331892645686e-05,0.0344436432595429,0.0290794120514554,-0.00782279087798763,0.00588738886780427,-0.00310877117011032,0.0550157954600312,-0.06198665182119,0.00624521377930416,0.0417669542866624,-0.0295530434019751,0.00917878509459607,-0.0895784252718362,-0.00744975576239175,-0.0197969085650801,0.0155542134284613
62.06094_0.929,-0.0075489231260616,0.0324627813846439,0.0140969572098872,-0.026624286670007,0.0214600147243681,-0.000453467873653589,0.0627037438755869,0.0129102453416481,-0.0258531841234531,-0.0107755702469512,0.0226547619715951,0.00212840733337372,-0.0478640328773732,0.0102886610055047,0.063088657275509,0.011779214091456,0.0489963140572303,-0.00785341181280851,0.0327102155585448,0.00560287702801764,0.0143637973823668,0.00215532324133338,0.0129766758315941,0.0309429781282024,0.0524789529885343,0.0162335143946343,-0.0155309179907514,-0.0137872779572161,-0.0292715153226409,-0.0112325300634254,-0.0454741400900051,0.0407953233486672,-0.00786337358779252,-0.00624591379738055,0.0281629766121101,0.0238293880601124,0.0238936303586174,0.0249974410337363,0.000694514023048137,-0.00743743906320089,0.00437090630354331,-0.0039669852378466,-0.0117278544789941,-0.0166272151411562,0.0169586918563167,-0.0151263915885817,-0.0361556084808543,-0.0481528409210302,-0.0198331400615097,0.0220197425579386,0.00331711269376693,0.0082025204761549,-0.0202528006149768,-0.00950761701739663,-0.0397174778371218,-0.00307282641057438,0.0094760410263101,-0.0091800537858789
68.98293_0.809,-0.026922256676681,0.0407598704597277,0.00446742014295806,-0.00900959478155998,0.00830754082432824,0.0298888331519579,0.00126714708252251,-0.0409129189157213,-0.0243951710478909,-0.00203162117868342,-0.00504646919028056,0.028697711341245,-0.00936302368951302,-0.000111378483534731,-0.00097444033276974,0.0121903561438603,-0.00893329639575984,0.0090405640162886,0.00925222788865697,-0.00180840029640531,-0.00100567592719524,0.00882160036008163,0.000966703720944738,-0.0136469443328117,0.00467231199242327,-0.00132450975160863,0.0117010358706968,0.00371348796915672,-0.00974356743466267,0.00530089162840294,-0.00759014682772151,0.0148138608770642,0.00142313461977136,-0.00364001492737013,-0.00346051573403218,-0.0101456907740332,0.0118044117127117,-0.00945527884169626,-0.00566839530529915,-0.00628867946342399,-0.00613574841039765,-0.00404093094325433,0.00923884959523209,0.00484788039158844,0.000934582162172342,-0.0126803069917366,-0.00313659672058107,0.0109762276573748,0.00561500947140252,-0.00166218944756115,-0.0102978681932402,-0.00591386069837673,0.0112691958161716,-0.00398624206504924,-0.00732148178159371,0.00466518859364436,0.00295845889575419,-0.00767343730225193
