x
35.7
9.98
6.51
4.11
3.49
3.05
2.64
2.41
2.1
1.84
1.74
1.52
1.33
1.18
1.02
0.96
0.93
0.89
0.86
0.77
0.77
0.74
0.73
0.68
0.66
0.64
0.62
0.6
0.59
0.57
0.53
0.53
0.51
0.5
0.49
0.47
0.44
0.43
0.43
0.42
0.41
0.4
0.39
0.38
0.36
0.36
0.34
0.34
0.34
0.32
0.31
0.3
0.29
0.28
0.28
0.26
0.26
0
