calculated_mw,mz_ratio,rt_min,reference_ion,A_01,A_02,A_03,A_04,A_05,A_06,A_07,A_08,A_09,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,A_25,A_26,A_27,A_28,A_29,A_30,A_31,A_32,A_33,A_34,A_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,B_53,B_54,B_55,B_56,B_57,B_58
200.91554,201.92274,0.341,[M+H]+1,70746.33049,110281.9205,198842.6401,182071.8077,118686.4019,130422.0402,148895.9578,192185.9085,236779.0091,285607.7558,366462.9804,199210.7536,138169.0032,137215.2434,352767.4918,362469.5249,313887.368,199375.5512,202445.6661,307697.1398,146906.8711,112097.3977,160031.384,139331.9426,172472.6448,199055.0072,295596.1475,600039.3046,130472.0899,137582.1565,232129.1072,207931.7723,694399.1016,522339.3142,208219.8808,247466.9374,334402.8187,334115.237,163387.7988,711295.94,145914.9426,304158.3512,291032.2051,139007.6358,260721.1446,174069.8491,239413.4506,148896.7592,512408.8141,224481.6846,841246.5539,388863.8671,253352.238,726015.5991,438205.9204,757881.9567,769814.4464,382054.8885
293.91287,294.9201,0.345,[M+H]+1,193675.2444,329451.1531,291094.4838,357050.439,326197.3864,472998.4137,505048.4102,534744.5406,416432.8491,530056.3705,345107.7301,552183.4062,372706.5801,405668.315,248477.8469,588944.7015,708405.3455,721690.6035,552136.8191,590914.3311,662869.9107,629143.767,374069.0023,671608.6967,727974.4063,356650.9027,552918.3939,766641.6712,477322.3803,586395.9484,954027.3877,848614.5759,347835.7714,397598.0009,822403.1219,612500.8999,763140.9864,722351.8848,326402.9918,773567.7751,3332535.726,739840.7487,3436729.281,3570888.041,626612.7519,580040.3516,694114.675,494719.8373,3875015.597,809239.8817,3516440.397,2796031.492,1233253.088,328646.6992,4419377.163,856008.3812,750996.721,1122532.337
118.93632,119.94351,0.346,[M+H]+1,44044.57751,34572.63953,48104.61563,40616.99978,30863.64498,43640.75959,42055.0452,45555.35539,42541.82891,159463.6857,40593.27538,79400.25728,110197.8238,61344.78791,73002.23791,76511.00486,70921.90956,85701.21689,27531.2756,56113.10211,71326.53535,110608.7089,62366.9745,54752.55493,105658.64,84030.07898,111338.3565,113376.628,58661.81642,125701.9426,94335.65915,106088.7747,90630.2788,122297.1362,92271.29853,168695.5994,136116.3513,59897.43326,198536.1213,103727.7863,171295.0664,193885.9475,131504.2384,159285.8546,96100.76325,128440.8114,83958.35108,147697.3525,81874.47171,90741.50675,143690.9255,136325.5455,252697.5082,163883.0632,101882.5955,164176.0707,216873.3707,128727.9048
119.95151,120.9587,0.348,[M+H]+1,104564.4239,217225.3656,107164.3866,159278.0931,217987.7733,106588.0919,179244.8857,129452.9016,95524.74697,151038.2081,296305.178,219602.0726,296017.3813,71723.44722,188838.0555,106569.607,295373.4563,309473.9191,456652.5235,270304.752,159346.4731,307332.9906,327752.2992,135017.0811,150541.0245,165282.3201,440234.8288,220696.2233,669668.7128,207232.8669,474973.2953,570264.648,204556.9248,832311.5026,259184.7862,354689.8343,192883.8894,297748.6409,673160.4212,773986.6522,268922.3686,529478.8384,363248.3379,273639.0245,762090.3804,372740.8673,162685.768,539332.1886,179674.8654,323847.3543,261329.4424,202595.7817,273300.3693,59278.17591,250100.5629,114467.3111,433729.3477,505245.7473
196.93075,197.93802,0.35,[M+H]+1,1775076.896,101250.4865,915659.552,2566929.84,668357.7465,886151.2934,1075814.107,759360.1672,2388401.723,674490.2971,160188.4043,3008948.265,893135.4779,993391.4206,1342896.696,873686.66,233614.4173,362405.6668,3541147.472,185880.059,178436.0532,250809.0305,257930.8846,332428.8485,1129958.607,166970.5181,3650892.79,3889309.774,2930562.577,3577970.303,4098822.217,1915285.106,3974279.406,4000300.449,1042614.778,740670.3798,306484.9173,2695235.265,429566.6453,502467.4886,816678.7468,460148.9626,4369412.376,567465.2453,569114.007,484493.2785,528135.527,4403505.539,728461.0378,208380.5923,516292.27,515582.5625,4719036.445,264853.0083,435390.2108,4688091.708,350526.9734,4795123.976
117.9562,118.96382,0.351,[M+H]+1,75534.10464,236945.5569,107164.3866,83463.55027,224592.9604,106588.0919,179244.8857,133877.8703,127742.3712,151038.2081,98446.98137,197762.1938,239964.5284,71723.44722,224112.9505,162785.6949,215330.2293,144553.5883,169523.2729,270304.752,195480.4079,341670.3732,327752.2992,135017.0811,150541.0245,165282.3201,440234.8288,254368.408,476232.1911,207232.8669,44561.55074,279546.6446,204556.9248,72788.19011,104643.7496,229684.299,192883.8894,259947.7548,673160.4212,430180.6976,291935.3205,558353.2167,380898.1537,297253.8567,325659.7741,400698.0517,162685.768,539332.1886,179674.8654,323847.3543,178394.7447,441548.6059,273300.3693,307907.7158,273862.6383,114467.3111,179507.4915,525642.3363
210.90984,243.94332,0.352,[M+H+MeOH]+1,660352.7307,325318.9461,512168.4923,1373192.705,950638.0564,774200.2241,782462.9019,808572.3365,2590171.841,1450855.368,2120967.05,916437.7317,1435046.693,1300584.334,2649591.547,731698.6069,2752628.997,1601688.496,1403432.19,2743385.79,1119056.378,2778560.945,2874222.161,2991070.907,887085.5134,3068248.079,1834421.386,2919129.118,3155128.661,3866417.063,3761862.809,766045.149,1879313.081,1363989.567,3910501.419,2301438.929,1265119.661,3835430.382,3007784.312,4819594.462,4265098.67,4832090.346,4812957.709,5224418.492,4841291.749,4324640.842,4260645.455,5273720.016,5003359.351,4569547.2,4403636.628,4639555.17,4975661.495,4164485.474,4489426.035,4966999.151,4536818.992,4490740.443
276.91344,277.92072,0.363,[M+H]+1,116921.4165,98900.1928,153575.0599,137890.7368,155878.1528,99558.44591,126573.5467,163749.7538,155110.1562,170319.2306,158527.6874,146205.1643,224641.6766,289098.1559,239300.5866,306096.0852,80037.46471,69156.98517,223326.6114,315380.8414,533359.4705,107510.6194,467960.656,112995.109,164247.8388,216909.7656,267172.8555,322737.9242,403405.6775,158060.5017,99008.54123,191594.3646,497510.3949,585433.0559,106050.2626,147807.7909,268464.7805,272652.5304,243260.3916,223746.1405,208491.3594,668713.885,994779.161,194625.6063,176180.5747,130367.2346,639351.3475,100868.651,263763.8567,189964.8637,288203.1591,324664.1013,315689.7514,165775.4834,250982.5187,105655.284,234262.4779,361074.6543
139.93298,140.94014,0.369,[M+H]+1,180836.6365,154312.7161,208457.2693,235865.8051,407156.7723,136574.9887,216071.8097,188007.6802,67907.3804,533980.1437,90036.93068,240869.5578,454103.084,300737.3381,234586.668,267490.1061,230582.595,265553.2388,292401.2375,143732.6007,155934.4977,356630.562,402478.7204,217781.1294,331513.2686,416198.086,492569.2653,359653.9077,208400.086,613427.7844,298071.2707,725914.3205,412659.9313,537029.4615,386486.689,919356.0761,708985.579,201247.0725,574085.729,437547.7386,852538.869,661376.0885,368343.3063,400755.5369,506960.8604,348403.8694,222198.238,289010.0027,128967.2995,441945.2337,154133.3905,470622.2441,151504.5611,539730.7187,481761.9178,524925.8919,297620.1444,382502.278
113.98076,114.98803,0.437,[M+H]+1,71775.74861,75143.05175,62040.89401,109887.8337,90161.83207,111694.2918,163383.1371,101813.0039,223276.1397,129836.9985,122584.1267,106002.5907,69906.70976,103972.6422,291355.8745,221574.8182,86519.55445,96713.38113,374082.669,204565.199,113778.8027,243337.4895,113173.8017,379116.3927,154226.5612,133678.7429,127350.0467,129763.1672,144258.1567,403235.9356,89804.56596,392560.1361,119224.7719,158758.4451,112812.1793,101234.6674,84963.94881,420611.5129,127026.2571,135934.3953,94162.59407,84225.30472,92950.1266,359196.5185,162202.2547,152068.7323,528079.1436,140534.8089,245681.5327,191495.7372,106881.6783,222209.6704,261940.0987,540916.9736,116879.3932,116204.0687,234023.6685,130884.6716
