"mz_rt_min","comp1_value","comp2_value"
"321.18133_7.82",-0.728441697134406,NA
"607.31335_7.231",-0.401503272602186,NA
"327.23224_8.287",-0.328974956871326,NA
"224.07966_0.958",-0.284670789646762,NA
"235.04886_6.023",0.237944710149099,NA
"307.16574_7.271",-0.201761302126816,NA
"437.12679_1.118",-0.118993544002809,NA
"323.16123_5.624",-0.0821221866695102,NA
"528.78295_7.234",-0.0240994226762708,NA
"595.34828_7.383",-0.0098095812435256,NA
"133.0971_1.058",NA,0.263954648051902
"133.09719_1.064",NA,0.252849824056881
"204.12317_1.187",NA,-0.21164906818075
"112.07606_0.871",NA,0.181027497973294
"348.09004_1.315",NA,0.155661176583723
"604.3532_6.952",NA,0.151015605342152
"233.09225_6.08",NA,-0.147890890755539
"138.58148_0.941",NA,0.145105277677111
"175.10784_1.005",NA,0.138203699138541
"147.11291_0.872",NA,0.136597682364549
"282.06417_1.36",NA,-0.136553591848502
"84.0815_0.871",NA,0.135741675539208
"432.24101_8.005",NA,-0.132676372435216
"128.07095_1.193",NA,0.128474920842103
"129.1025_0.875",NA,0.127050608820343
"244.12863_1.021",NA,-0.125469478421526
"128.07088_0.983",NA,0.124095150640955
"335.22091_8.138",NA,0.123893188065312
"291.06988_2.85",NA,0.115249536387687
"146.11765_1.134",NA,0.114839351415407
"146.11767_1.136",NA,0.114839351415407
"176.07076_7.271",NA,-0.114007282836205
"438.16303_7.565",NA,-0.11343801077175
"290.14612_0.994",NA,-0.111963184961667
"429.24613_2.916",NA,-0.111150221581729
"376.18395_7.072",NA,-0.106945201653271
"130.06531_7.264",NA,-0.105240441618051
"267.13437_7.327",NA,-0.104328231393526
"137.05985_1.214",NA,0.103442121691038
"398.17077_7.568",NA,-0.101096701710237
"74.06082_1.054",NA,0.100351147910965
"560.306_7.494",NA,-0.099356967084722
"314.08467_1.449",NA,-0.0982694616766274
"76.07648_0.951",NA,0.0975151823757418
"136.07583_1.719",NA,0.0974234156963314
"118.06546_7.739",NA,0.0973248609043847
"123.04427_1.723",NA,0.0952340853606768
"119.04944_1.209",NA,0.0946147134496897
"275.07499_2.534",NA,0.0882665395507884
"404.1782_7.631",NA,-0.08772203365779
"72.08159_1.171",NA,0.0859510843592337
"58.066_0.799",NA,0.0858763275825754
"111.09207_0.867",NA,0.0849737958024961
"165.05477_1.209",NA,0.0844401011558498
"191.10269_0.982",NA,0.0843402814216575
"191.09158_2.629",NA,0.0827040010298137
"84.08141_1.184",NA,0.0822949673075943
"182.08134_1.211",NA,0.0812453249907316
"202.0687_0.899",NA,-0.0812264531445977
"91.05487_1.721",NA,0.0801365986292724
"190.60022_0.982",NA,0.0784779835368408
"264.1229_6.734",NA,-0.0767948382675746
"182.08133_1.722",NA,0.0765395133192261
"201.98393_1.404",NA,0.0761993471083183
"144.00903_1.4",NA,0.0758559159675859
"354.20252_7.076",NA,-0.0757072390376248
"248.12796_7.82",NA,-0.0746734756217798
"120.06581_1.056",NA,0.0727588562144904
"120.06582_1.058",NA,0.0727588562144904
"217.01898_1.554",NA,0.070253755042305
"123.0443_1.209",NA,0.0696691634631034
"344.25483_7.434",NA,-0.0689335740031681
"239.13933_7.329",NA,-0.0681305249847805
"159.11286_0.876",NA,-0.0669764329570069
"222.11205_7.426",NA,0.0664437484436562
"153.04083_2.843",NA,0.0648172045409764
"236.13558_8.064",NA,0.0640902992105565
"112.07609_1.133",NA,0.0631732442538276
"237.00713_4.979",NA,0.0617888991193868
"476.16124_1.108",NA,-0.061744879534146
"291.049_2.537",NA,0.0613524065894619
"315.18773_0.881",NA,0.0611179061888415
"378.20243_3.795",NA,-0.060690711014555
"137.0459_2.544",NA,0.0597832072244652
"70.06594_1.144",NA,0.0597815641137375
"177.00717_0.801",NA,0.0580755230538913
"76.04007_1.018",NA,0.0572929340641286
"409.25848_8.074",NA,-0.0556513071889335
"141.06591_1.077",NA,0.0552679254329175
"95.04973_1.209",NA,0.0549073391557301
"255.01739_5",NA,0.0545581421754273
"90.05558_1.038",NA,0.0514130836929754
"490.17692_1.105",NA,-0.0506556211646461
"182.08132_1.37",NA,0.0497146650699562
"167.09214_1.001",NA,0.0492291909140734
"153.04083_2.056",NA,0.0481683312035435
"95.04973_1.724",NA,0.0478624971161838
"190.10749_1.181",NA,-0.0470561391766402
"166.08647_6.807",NA,0.0463450041255018
"173.04194_1.298",NA,0.0463022856469098
"214.14369_7.788",NA,-0.0458029696002826
"310.17622_1.204",NA,0.0446479551945886
"188.12839_7.158",NA,0.0442377464433546
"360.17546_7.236",NA,0.0438737351509208
"120.01164_1.385",NA,0.0433002815054762
"207.13744_8.082",NA,0.0431368433794828
"406.13201_1.225",NA,0.0426573332244546
"155.0792_0.9",NA,0.0423741702277347
"511.25544_8.538",NA,0.0422064320195817
"243.94332_0.352",NA,-0.0416827641165403
"189.12341_1.027",NA,0.0404211475409164
"115.08698_0.877",NA,0.0402655881423011
"376.22216_7.164",NA,-0.0397551885970999
"202.61072_0.97",NA,0.0378164135076568
"116.07099_0.876",NA,0.0377010404273077
"410.29037_7.992",NA,-0.0375365564492945
"177.00712_0.8",NA,0.0375096374038148
"331.19103_8.063",NA,0.0362697565989046
"225.12341_6.362",NA,-0.0359480269585677
"203.13919_1.243",NA,0.0356129877703562
"388.18556_7.399",NA,-0.0343887117663861
"190.10749_1.146",NA,-0.0340012668866344
"253.11834_6.364",NA,-0.0339154679815078
"88.03995_1.273",NA,0.0338756307932339
"184.04848_0.931",NA,-0.0318525591128124
"265.02308_1.269",NA,-0.0312928844361325
"277.92072_0.363",NA,0.0308012365955485
"276.15558_1.178",NA,-0.0293411891327971
"70.06594_0.877",NA,0.0284595820331079
"354.20075_7.454",NA,-0.0274257777477478
"271.1655_6.437",NA,-0.0272943506284947
"198.0374_1.468",NA,0.0272518961432384
"353.19286_7.093",NA,-0.0271878893667126
"104.10749_1.082",NA,-0.0270292233001312
"189.12345_1.236",NA,0.0269945271188532
"177.02453_1.517",NA,0.0269258973027084
"179.14308_7.981",NA,0.0264478866927793
"411.22248_5.4",NA,0.0253840155892037
"555.31168_8.071",NA,-0.0253805931536001
"317.14567_1.005",NA,-0.0253391360284904
"425.27572_6.096",NA,-0.0250472183727014
"436.22924_1.242",NA,-0.0242681902001221
"177.00722_0.798",NA,0.0239635335917706
"201.08704_1.015",NA,0.0233942144617591
"110.07174_0.897",NA,0.02294867910581
"161.09211_0.992",NA,0.0226510035471922
"290.08692_1.324",NA,0.021831451203979
"295.06628_1.85",NA,0.0216917685986049
"160.13332_1.179",NA,0.0215275099588978
"441.30747_7.474",NA,-0.0214258691567351
"314.20757_3.739",NA,-0.0204386297090534
"497.13411_6.29",NA,-0.0187867359664908
"121.03995_1.169",NA,0.0181514928128432
"132.10212_1.237",NA,0.0177836423346468
"295.06631_1.854",NA,0.0176665229414038
"233.14963_1.199",NA,0.0173192913197012
"373.27388_8.27",NA,-0.0165685892303733
"104.07114_0.971",NA,0.0165460948697232
"130.60226_0.918",NA,0.0163500974467613
"243.13404_4.417",NA,-0.0161005246666117
"157.08365_3.274",NA,0.0159652911932444
"296.15224_7.055",NA,0.0155271357848162
"468.3071_7.471",NA,-0.0154445388451189
"118.0866_1.171",NA,0.0153350108034028
"433.24474_6.98",NA,-0.0152059930565146
"70.06583_1.066",NA,0.0151120991740953
"119.04938_8.156",NA,0.0145395295422316
"277.10304_1.302",NA,-0.0143938749744797
"159.02772_1.862",NA,0.0143207522277812
"200.12823_7.202",NA,-0.0141915872286345
