"sample","mode","treatment","is_outlier","group_dist","Q1","Q3","IQR","upper_bound","PC1","PC2","cohort","centroid_PC1","centroid_PC2"
"B_43","neg","tr2",FALSE,6.13082306187129,8.17480325781772,22.0957343434977,13.92093108568,42.9771309720177,-27.0163823659346,9.14252799416055,"B",-23.3656610042713,4.2171625300079
"B_44","neg","tr2",FALSE,8.16051621061876,8.17480325781772,22.0957343434977,13.92093108568,42.9771309720177,-29.5542874236855,9.53646021529491,"B",-23.3656610042713,4.2171625300079
"B_45","neg","control",FALSE,2.897149798543,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,25.1543541223176,2.70382527184664,"B",25.0949061979383,-0.192714543085091
"B_46","neg","tr1+tr2",FALSE,3.89343048642444,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-27.3887724152731,-3.8435677582626,"B",-23.5502977401431,-4.49542136222992
"B_47","neg","tr1+tr2",FALSE,7.11362430526244,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-24.8905313509432,-11.4816524366292,"B",-23.5502977401431,-4.49542136222992
"B_48","neg","tr1+tr2",FALSE,28.1161833762533,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-6.97760614807933,18.2172548570411,"B",-23.5502977401431,-4.49542136222992
"B_49","neg","tr1+tr2",FALSE,24.1031615104537,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-19.7515787917414,19.3065140454228,"B",-23.5502977401431,-4.49542136222992
"B_50","neg","tr1+tr2",FALSE,10.9005463145346,8.44528281561279,24.5598812950961,16.1145984794833,48.7317790143212,-27.5803889497194,5.63277071719912,"B",-23.5502977401431,-4.49542136222992
"B_51","neg","tr1",FALSE,2.78481092748691,6.88357418070812,12.1008067692418,5.21723258853372,19.9266556520424,23.2339814011219,3.0999356744612,"B",25.185380795068,1.11317642705421
"B_52","neg","tr2",FALSE,10.2784015666366,8.17480325781772,22.0957343434977,13.92093108568,42.9771309720177,-26.9514688471883,13.8497904621307,"B",-23.3656610042713,4.2171625300079
"B_53","neg","control",FALSE,3.61677229894676,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,27.4352730359427,-2.9501997970797,"B",25.0949061979383,-0.192714543085091
"B_54","neg","control",FALSE,8.43948820549419,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,31.7096452757441,-5.43391556033529,"B",25.0949061979383,-0.192714543085091
"B_55","neg","control",FALSE,3.80748190951197,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,22.8426389913466,-3.26260231324428,"B",25.0949061979383,-0.192714543085091
"B_56","neg","control",FALSE,11.285676195323,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,19.9813869370513,-10.2534504979851,"B",25.0949061979383,-0.192714543085091
"B_57","neg","control",FALSE,2.34102732355465,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,27.432369992789,-0.32183439977464,"B",25.0949061979383,-0.192714543085091
"B_58","neg","control",FALSE,8.66793102304264,4.24023849092808,10.0297763459294,5.78953785500129,18.7140831284313,26.5156926125404,-8.74341008112801,"B",25.0949061979383,-0.192714543085091
"A_01","pos","tr1+tr2",FALSE,31.5216592427927,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-17.395136717926,-36.0855071999961,"A",-19.8213271406058,-4.65735737453495
"A_02","pos","tr2",FALSE,25.5476034398623,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-18.0619986159862,-22.8602670035053,"A",-19.2561627500418,2.65941194317038
"A_03","pos","tr2",FALSE,27.7998453518996,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-21.7325965035683,-25.0299123074127,"A",-19.2561627500418,2.65941194317038
"A_04","pos","tr1",FALSE,14.4666064278406,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,25.0225132748766,-12.7732719715088,"A",20.7630735004593,1.05206253967576
"A_05","pos","tr1",FALSE,12.3502849308759,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,24.5050194131489,-10.7177029065991,"A",20.7630735004593,1.05206253967576
"A_06","pos","tr2",FALSE,26.5050119307694,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-1.12935914862572,-16.6779779697914,"A",-19.2561627500418,2.65941194317038
"A_07","pos","tr1",FALSE,10.7589672410342,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,21.4596683856287,-9.6843303210388,"A",20.7630735004593,1.05206253967576
"A_08","pos","tr2",FALSE,7.59307860909088,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-20.5723518513151,-4.81872211644122,"A",-19.2561627500418,2.65941194317038
"A_09","pos","tr1",FALSE,16.491143158209,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,26.6981300146487,-14.3340645505936,"A",20.7630735004593,1.05206253967576
"A_10","pos","tr1+tr2",FALSE,28.5341808404879,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-9.62935584151746,-31.3092465622872,"A",-19.8213271406058,-4.65735737453495
"A_11","pos","tr1",FALSE,4.4262292814897,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,16.3559485422754,1.46286085426476,"A",20.7630735004593,1.05206253967576
"A_12","pos","tr1+tr2",FALSE,11.494028317845,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-26.4524329095181,-14.0457077755863,"A",-19.8213271406058,-4.65735737453495
"A_13","pos","control",FALSE,3.59144858152611,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,17.6657955829337,2.49803397153072,"A",21.146034553132,1.61121965947949
"A_14","pos","control",FALSE,12.5408861703434,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,27.7598315504989,-9.04389719652589,"A",21.146034553132,1.61121965947949
"A_15","pos","tr1+tr2",FALSE,11.2245724672835,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-30.3434370594042,-0.748875581047513,"A",-19.8213271406058,-4.65735737453495
"A_16","pos","tr2",FALSE,1.03318285039281,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-19.889592817765,1.84318087806072,"A",-19.2561627500418,2.65941194317038
"A_17","pos","tr1",FALSE,10.2431076142182,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,15.7747952560765,9.99847711497195,"A",20.7630735004593,1.05206253967576
"A_18","pos","tr1",FALSE,13.6561318949785,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,14.3654572323648,13.1169058631202,"A",20.7630735004593,1.05206253967576
"A_19","pos","tr1",FALSE,7.06833333432091,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,24.7484919097964,-4.78555480197905,"A",20.7630735004593,1.05206253967576
"A_20","pos","control",FALSE,21.28810900898,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,29.5631417515281,-17.942191592497,"A",21.146034553132,1.61121965947949
"A_21","pos","tr1+tr2",FALSE,9.19782437478888,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-25.1594221536802,-12.1476654363473,"A",-19.8213271406058,-4.65735737453495
"A_22","pos","tr1+tr2",FALSE,9.75200503899654,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-19.9015376446899,-14.4090325411742,"A",-19.8213271406058,-4.65735737453495
"A_23","pos","control",FALSE,4.52034841499466,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,16.66166903478,1.04199589788754,"A",21.146034553132,1.61121965947949
"A_24","pos","tr1+tr2",FALSE,37.386199270232,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-18.1641264540519,-42.0068096028874,"A",-19.8213271406058,-4.65735737453495
"A_25","pos","tr2",FALSE,13.8443485828895,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-22.8718251477668,-10.7044562509653,"A",-19.2561627500418,2.65941194317038
"A_26","pos","tr1",FALSE,14.7628612604324,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,26.4639772936113,-12.5656380201104,"A",20.7630735004593,1.05206253967576
"A_27","pos","tr1",FALSE,5.18508306389402,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,23.6989658712145,-3.2217674015856,"A",20.7630735004593,1.05206253967576
"A_28","pos","control",FALSE,15.6264771244669,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,12.2543924490831,14.4613359241283,"A",21.146034553132,1.61121965947949
"A_29","pos","control",FALSE,15.7476237125257,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,16.8914076821431,16.77320510928,"A",21.146034553132,1.61121965947949
