"treatment","comp1","comp2"
"control",-0.510435591396203,-0.02731818106846
"tr1",-0.497961085662329,-0.0586360165815073
"tr2",0.429947027234169,0.765347278924028
"tr1+tr2",0.553747070398123,-0.640358553613637
