"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"tr1+tr2 vs tr2",1,2432.11820727244,1.46273089012815,0.049646819759612,0.092,0.552,""
"tr1+tr2 vs tr1",1,27788.9130327416,19.4002291824692,0.409285556569509,0.001,0.006,"*"
"tr1+tr2 vs control",1,28139.9894580818,19.2554642056133,0.407475929594741,0.001,0.006,"*"
"tr2 vs tr1",1,23874.456119065,18.5166362382546,0.415948683524804,0.001,0.006,"*"
"tr2 vs control",1,24003.6227040145,18.1765194986914,0.411452049753033,0.001,0.006,"*"
"tr1 vs control",1,1197.231508582,1.11625406861464,0.0411654967456083,0.227,1,""
